"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://nutrisport.es/","text/html; charset=utf-8","200","OK","Indexable","","NutriSport online: Nutrición Deportiva - Suplementos deportivos - Nutrisport","76","654","NutriSport, líder en nutrición deportiva con más de 30 años de experiencia. Conoce sus suplementos deportivos: proteínas, L-Carnitina, barritas...","146","917","nutrisport,nutricion deportiva, suplementos deportivos","54","","0","","0","Únete a nuestra comunidad","25","","0","index,follow","","","","","","","","128920","611","3.2671669","0","","2497","712","99.72","171","83","22","18","23863bb419eda91a503a1fc3bb05490d","2.325","","","","https://nutrisport.es/"
"https://nutrisport.es/module/blockwishlistpro/mywishlistpro","text/html; charset=utf-8","302","Moved Temporarily","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","1","","712","712","99.72","0","0","0","0","","0.587","","https://nutrisport.es/autenticacion","HTTP Redirect","https://nutrisport.es/module/blockwishlistpro/mywishlistpro"
"https://nutrisport.es/content/52-por-que-elegir-nutrisport","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","¿Por qué elegir nutrisport? - Nutrisport","40","338","","0","0","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","","0","","0","Calidad","7","Objetivos cumplidos","19","noindex,follow","","","","","","","","94145","619","4.5053673","1","","714","712","99.72","125","66","6","6","a1f1d75ffe18e3e8df81d4fd84293b42","0.579","","","","https://nutrisport.es/content/52-por-que-elegir-nutrisport"
"https://nutrisport.es/content/44-politica-de-privacidad","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Política de privacidad - Nutrisport","35","292","","0","0","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","","0","","0","Política de Privacidad","22","MÁS INFORMACIÓN:","16","noindex,follow","","","","","","","","127801","2917","15.461069","1","","1080","712","99.72","125","66","6","6","33822299824b14d7612e25bebc5f0aea","0.599","","","","https://nutrisport.es/content/44-politica-de-privacidad"
"https://nutrisport.es/content/39-regalos","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Regalos - Nutrisport","20","176","","0","0","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","","0","","0","POLÍTICA DE REGALOS","19","Únete a nuestra comunidad","25","noindex,follow","","","","","","","","95483","629","4.4596877","1","","715","712","99.72","129","66","6","6","b3ab728020b7168e16917d64ede47ee6","0.611","","","","https://nutrisport.es/content/39-regalos"
"https://nutrisport.es/content/45-nuestras-marcas","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Nuestras marcas - Nutrisport","28","253","","0","0","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","","0","","0","Únete a nuestra comunidad","25","","0","noindex,follow","","","","","","","","94788","474","3.4819722","1","","1426","712","99.72","125","66","6","6","d1a732feae5f06cef60f0215f9690f97","0.586","","","","https://nutrisport.es/content/45-nuestras-marcas"
"https://nutrisport.es/content/53-prensa","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","Prensa - Nutrisport","19","166","","0","0","Estimado cliente,

Un cordial saludo,
Atención al cliente","60","","0","","0","ARTÍCULOS DE PRENSA","19","Únete a nuestra comunidad","25","noindex,follow","","","","","","","","107285","1090","6.781879","1","","1426","712","99.72","125","66","17","12","b01be3b25fcbf51a79126a5234ed1cde","0.621","","","","https://nutrisport.es/content/53-prensa"
"https://nutrisport.es/45-voluminizadores","text/html; charset=utf-8","200","OK","Indexable","","Voluminizadores (Creatina) - NutriSport - Nutrisport","52","447","Optimiza el efecto de tus sesiones de entrenamiento y progresa hacia tus objetivos sin quedarte atrás","101","642","voluminizador","13","Voluminizadores (Creatina)","26","","0","La creatina es una sustancia que interviene directamente en el proceso de síntesis de energía muscular. Por lo que la creatina está involucrada en la capacidad de potencia y explosividad muscular, favoreciendo el desarrollo de la fuerza muscular. En deportes en los que hay un factor de explosividad importante la creatina toma importancia para generar las adaptaciones musculares adecuadas y conseguir una óptima recuperación.","427","Únete a nuestra comunidad","25","index,follow","","","","","","","","137471","801","4.086626","1","","1498","712","99.72","188","77","6","6","b4d6dc4cde8665663bf999e44e158ea0","1.268","","","","https://nutrisport.es/45-voluminizadores"
"http://nutrisport.es/themes/ecommtheme/img/logo_menu.jpg","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","162","0","0.0","1","","0","0","0.0","0","0","0","0","","0.032","","https://nutrisport.es/themes/ecommtheme/img/logo_menu.jpg","HTTP Redirect","http://nutrisport.es/themes/ecommtheme/img/logo_menu.jpg"
"https://nutrisport.es/web/?p=4904","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.0","1","","355","351","49.16","0","0","0","0","","0.689","","https://nutrisport.es/web/receta-proteica-saludable-halloween-cheesecake/","HTTP Redirect","https://nutrisport.es/web/?p=4904"
